Year,State,gasPriceAfterMarch8,gasPriceBeforeMarch8,gasPriceDiff,is2022
2004,California,2.144,2.16,-0.016,0
2004,Colorado,1.729,1.718,0.011,0
2004,Florida,1.797,1.795,0.002,0
2004,Massachussettes,1.754,1.75,0.004,0
2004,Minnesota,1.664,1.697,-0.033,0
2004,New York,1.901,1.906,-0.005,0
2004,Ohio,1.647,1.754,-0.107,0
2004,Texas,1.627,1.633,-0.006,0
2004,Washington,1.855,1.861,-0.006,0
2005,California,2.332,2.274,0.058,0
2005,Colorado,2.116,2.034,0.082,0
2005,Florida,2.136,2.048,0.088,0
2005,Massachussettes,2.014,1.992,0.022,0
2005,Minnesota,2.042,2.02,0.022,0
2005,New York,2.156,2.082,0.074,0
2005,Ohio,2.144,2.103,0.041,0
2005,Texas,1.985,1.918,0.067,0
2005,Washington,2.172,2.11,0.062,0
2006,California,2.578,2.525,0.053,0
2006,Colorado,2.369,2.329,0.04,0
2006,Florida,2.435,2.366,0.069,0
2006,Massachussettes,2.296,2.26,0.036,0
2006,Minnesota,2.387,2.422,-0.035,0
2006,New York,2.503,2.493,0.01,0
2006,Ohio,2.443,2.464,-0.021,0
2006,Texas,2.324,2.262,0.062,0
2006,Washington,2.427,2.343,0.084,0
2007,California,3.114,2.941,0.173,0
2007,Colorado,2.48,2.469,0.011,0
2007,Florida,2.612,2.578,0.034,0
2007,Massachussettes,2.549,2.499,0.05,0
2007,Minnesota,2.522,2.489,0.033,0
2007,New York,2.772,2.727,0.045,0
2007,Ohio,2.538,2.512,0.026,0
2007,Texas,2.43,2.393,0.037,0
2007,Washington,2.753,2.625,0.128,0
2008,California,3.584,3.504,0.08,0
2008,Colorado,3.107,3.096,0.011,0
2008,Florida,3.323,3.291,0.032,0
2008,Massachussettes,3.137,3.112,0.025,0
2008,Minnesota,3.086,3.049,0.037,0
2008,New York,3.374,3.354,0.02,0
2008,Ohio,3.294,3.099,0.195,0
2008,Texas,3.168,3.124,0.044,0
2008,Washington,3.504,3.461,0.043,0
2009,California,2.243,2.245,-0.002,0
2009,Colorado,1.87,1.84,0.03,0
2009,Florida,2.03,2.022,0.008,0
2009,Massachussettes,1.919,1.932,-0.013,0
2009,Minnesota,1.922,1.933,-0.011,0
2009,New York,2.12,2.116,0.004,0
2009,Ohio,2.004,1.905,0.099,0
2009,Texas,1.848,1.852,-0.004,0
2009,Washington,2.193,2.201,-0.008,0
2010,California,3.108,3.093,0.015,0
2010,Colorado,2.692,2.684,0.008,0
2010,Florida,2.897,2.853,0.044,0
2010,Massachussettes,2.756,2.739,0.017,0
2010,Minnesota,2.857,2.8,0.057,0
2010,New York,2.96,2.938,0.022,0
2010,Ohio,2.765,2.708,0.057,0
2010,Texas,2.72,2.667,0.053,0
2010,Washington,3.001,2.975,0.026,0
2011,California,4,3.92,0.08,0
2011,Colorado,3.406,3.372,0.034,0
2011,Florida,3.62,3.604,0.016,0
2011,Massachussettes,3.54,3.519,0.021,0
2011,Minnesota,3.579,3.613,-0.034,0
2011,New York,3.796,3.752,0.044,0
2011,Ohio,3.59,3.499,0.091,0
2011,Texas,3.488,3.459,0.029,0
2011,Washington,3.715,3.656,0.059,0
2012,California,4.424,4.405,0.019,0
2012,Colorado,3.486,3.286,0.2,0
