Year,State,gasPriceAfterFeb24,gasPriceBeforeFeb24,gasPriceDiff,is2022
2004,California,2.156,2.075,0.081,0
2004,Colorado,1.631,1.612,0.019,0
2004,Florida,1.749,1.728,0.021,0
2004,Massachussettes,1.729,1.712,0.017,0
2004,Minnesota,1.703,1.66,0.043,0
2004,New York,1.875,1.841,0.034,0
2004,Ohio,1.76,1.746,0.014,0
2004,Texas,1.604,1.596,0.008,0
2004,Washington,1.845,1.78,0.065,0
2005,California,2.221,2.195,0.026,0
2005,Colorado,1.938,1.916,0.022,0
2005,Florida,1.981,1.978,0.003,0
2005,Massachussettes,1.918,1.931,-0.013,0
2005,Minnesota,1.921,1.88,0.041,0
2005,New York,2.044,2.058,-0.014,0
2005,Ohio,1.988,1.931,0.057,0
2005,Texas,1.84,1.826,0.014,0
2005,Washington,2.063,2.028,0.035,0
2006,California,2.484,2.519,-0.035,0
2006,Colorado,2.264,2.227,0.037,0
2006,Florida,2.315,2.336,-0.021,0
2006,Massachussettes,2.222,2.268,-0.046,0
2006,Minnesota,2.239,2.186,0.053,0
2006,New York,2.464,2.501,-0.037,0
2006,Ohio,2.329,2.153,0.176,0
2006,Texas,2.165,2.178,-0.013,0
2006,Washington,2.287,2.296,-0.009,0
2007,California,2.841,2.755,0.086,0
2007,Colorado,2.349,2.254,0.095,0
2007,Florida,2.409,2.315,0.094,0
2007,Massachussettes,2.366,2.263,0.103,0
2007,Minnesota,2.411,2.293,0.118,0
2007,New York,2.546,2.465,0.081,0
2007,Ohio,2.44,2.419,0.021,0
2007,Texas,2.265,2.168,0.097,0
2007,Washington,2.525,2.508,0.017,0
2008,California,3.374,3.237,0.137,0
2008,Colorado,3.086,2.962,0.124,0
2008,Florida,3.272,3.136,0.136,0
2008,Massachussettes,3.105,3.004,0.101,0
2008,Minnesota,3.044,2.998,0.046,0
2008,New York,3.342,3.285,0.057,0
2008,Ohio,3.093,3.136,-0.043,0
2008,Texas,3.086,2.974,0.112,0
2008,Washington,3.347,3.201,0.146,0
2009,California,2.245,2.306,-0.061,0
2009,Colorado,1.84,1.87,-0.03,0
2009,Florida,2.022,2.018,0.004,0
2009,Massachussettes,1.932,1.917,0.015,0
2009,Minnesota,1.933,1.88,0.053,0
2009,New York,2.116,2.132,-0.016,0
2009,Ohio,1.905,1.936,-0.031,0
2009,Texas,1.852,1.812,0.04,0
2009,Washington,2.201,2.218,-0.017,0
2010,California,3.046,2.966,0.08,0
2010,Colorado,2.62,2.586,0.034,0
2010,Florida,2.812,2.757,0.055,0
2010,Massachussettes,2.693,2.688,0.005,0
2010,Minnesota,2.732,2.671,0.061,0
2010,New York,2.919,2.91,0.009,0
2010,Ohio,2.631,2.643,-0.012,0
2010,Texas,2.625,2.561,0.064,0
2010,Washington,2.939,2.885,0.054,0
2011,California,3.765,3.601,0.164,0
2011,Colorado,3.232,3.101,0.131,0
2011,Florida,3.457,3.209,0.248,0
2011,Massachussettes,3.355,3.207,0.148,0
2011,Minnesota,3.461,3.2,0.261,0
2011,New York,3.605,3.452,0.153,0
2011,Ohio,3.421,3.117,0.304,0
2011,Texas,3.288,3.065,0.223,0
2011,Washington,3.519,3.429,0.09,0
2012,California,4.338,4.081,0.257,0
2012,Colorado,3.191,3.129,0.062,0
2012,Florida,3.822,3.738,0.084,0
2012,Massachussettes,3.744,3.667,0.077,0
2012,Minnesota,3.577,3.486,0.091,0
2012,New York,3.983,3.917,0.066,0
2012,Ohio,3.706,3.526,0.18,0
